Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
2023-02,Ballard,9,315.0,6.0,52.0,203.0,156.0,10.0,369.0,369.0,368.67
2023-02,Ballard,10,361.0,12.0,63.0,221.0,202.0,9.0,432.0,432.0,430.04
2023-02,Ballard,11,351.0,11.0,41.0,200.0,196.0,4.0,400.0,389.0,372.91
2023-02,Ballard,12,336.0,7.0,50.0,216.0,168.0,8.0,392.0,374.0,350.35
2023-02,Cleveland STEM,9,189.0,28.0,26.0,134.0,100.0,0.0,234.0,234.0,234.0
2023-02,Cleveland STEM,10,197.0,24.0,18.0,134.0,100.0,0.0,234.0,234.0,233.26
2023-02,Cleveland STEM,11,188.0,21.0,14.0,102.0,113.0,1.0,216.0,195.0,168.67
2023-02,Cleveland STEM,12,191.0,16.0,25.0,121.0,99.0,1.0,221.0,186.0,155.17
2023-02,Franklin,9,161.0,58.0,35.0,114.0,122.0,2.0,238.0,238.0,236.54
2023-02,Franklin,10,235.0,72.0,39.0,162.0,166.0,3.0,331.0,331.0,329.33
2023-02,Franklin,11,216.0,63.0,37.0,161.0,141.0,1.0,303.0,288.0,261.04
2023-02,Franklin,12,226.0,98.0,37.0,173.0,171.0,1.0,345.0,320.0,276.18
2023-02,Garfield,9,303.0,29.0,40.0,188.0,166.0,6.0,360.0,360.0,360.0
2023-02,Garfield,10,359.0,24.0,35.0,222.0,181.0,10.0,413.0,413.0,410.06
2023-02,Garfield,11,335.0,29.0,42.0,198.0,195.0,7.0,400.0,386.0,348.06
2023-02,Garfield,12,360.0,31.0,39.0,215.0,206.0,3.0,424.0,384.0,342.37
2023-02,Lincoln,9,427.0,7.0,45.0,269.0,200.0,8.0,477.0,477.0,476.2
2023-02,Lincoln,10,355.0,14.0,46.0,240.0,164.0,8.0,412.0,412.0,410.59
2023-02,Lincoln,11,345.0,14.0,30.0,203.0,170.0,15.0,388.0,382.0,365.29
2023-02,Lincoln,12,334.0,9.0,34.0,210.0,161.0,5.0,376.0,365.0,350.2
2023-02,Roosevelt,9,306.0,17.0,45.0,178.0,178.0,3.0,359.0,359.0,357.18
2023-02,Roosevelt,10,339.0,16.0,39.0,193.0,187.0,8.0,388.0,388.0,383.31
2023-02,Roosevelt,11,345.0,10.0,36.0,182.0,202.0,3.0,387.0,378.0,346.11
2023-02,Roosevelt,12,343.0,6.0,38.0,206.0,178.0,2.0,386.0,364.0,338.62
2023-02,Chief Sealth International,9,209.0,65.0,48.0,146.0,158.0,4.0,308.0,308.0,308.0
2023-02,Chief Sealth International,10,204.0,50.0,59.0,170.0,121.0,4.0,295.0,295.0,294.8
2023-02,Chief Sealth International,11,198.0,58.0,53.0,156.0,129.0,3.0,288.0,250.0,222.97
2023-02,Chief Sealth International,12,228.0,73.0,48.0,175.0,161.0,2.0,338.0,268.0,238.86
2023-02,West Seattle,9,290.0,4.0,59.0,183.0,159.0,9.0,351.0,351.0,349.1
2023-02,West Seattle,10,314.0,13.0,45.0,199.0,165.0,7.0,371.0,371.0,368.42
2023-02,West Seattle,11,249.0,11.0,33.0,164.0,124.0,4.0,292.0,288.0,275.86
2023-02,West Seattle,12,271.0,12.0,32.0,165.0,140.0,4.0,309.0,278.0,244.46
2023-02,Ingraham,9,295.0,34.0,60.0,199.0,171.0,5.0,375.0,375.0,374.27
2023-02,Ingraham,10,275.0,41.0,55.0,193.0,161.0,7.0,361.0,361.0,359.89
2023-02,Ingraham,11,268.0,41.0,56.0,148.0,201.0,6.0,355.0,344.0,320.36
2023-02,Ingraham,12,268.0,37.0,44.0,188.0,146.0,6.0,340.0,314.0,266.94
2023-02,Rainier Beach,9,125.0,53.0,29.0,104.0,92.0,1.0,197.0,197.0,196.79
2023-02,Rainier Beach,10,128.0,45.0,27.0,102.0,92.0,0.0,194.0,194.0,194.0
2023-02,Rainier Beach,11,111.0,50.0,20.0,88.0,83.0,2.0,173.0,163.0,145.83
2023-02,Rainier Beach,12,124.0,69.0,28.0,113.0,100.0,0.0,213.0,193.0,174.76
2023-02,Nathan Hale,9,237.0,28.0,52.0,160.0,144.0,5.0,309.0,309.0,307.79
2023-02,Nathan Hale,10,203.0,27.0,50.0,149.0,116.0,7.0,272.0,272.0,271.45
2023-02,Nathan Hale,11,199.0,25.0,37.0,144.0,107.0,2.0,253.0,246.0,232.95
2023-02,Nathan Hale,12,212.0,19.0,22.0,129.0,117.0,5.0,251.0,238.0,203.37
2023-02,NOVA,9,35.0,3.0,19.0,19.0,20.0,17.0,56.0,56.0,55.25
2023-02,NOVA,10,43.0,2.0,18.0,24.0,27.0,12.0,63.0,63.0,62.08
2023-02,NOVA,11,57.0,1.0,22.0,31.0,36.0,13.0,80.0,80.0,76.04
2023-02,NOVA,12,53.0,1.0,17.0,24.0,39.0,7.0,70.0,70.0,64.48
2023-02,Center School,9,52.0,0.0,7.0,15.0,33.0,11.0,59.0,59.0,58.41
2023-02,Center School,10,28.0,1.0,17.0,17.0,24.0,5.0,46.0,46.0,45.57
2023-02,Center School,11,40.0,1.0,13.0,22.0,29.0,3.0,54.0,52.0,46.13
2023-02,Center School,12,53.0,1.0,19.0,35.0,34.0,4.0,73.0,62.0,43.58
2023-02,Denny International,6,168.0,58.0,56.0,152.0,113.0,2.0,267.0,267.0,267.0
2023-02,Denny International,7,161.0,76.0,50.0,129.0,138.0,1.0,268.0,268.0,267.76
2023-02,Denny International,8,196.0,55.0,48.0,152.0,128.0,1.0,281.0,281.0,280.48
2023-02,Eckstein,6,280.0,15.0,42.0,155.0,175.0,1.0,331.0,331.0,331.0
2023-02,Eckstein,7,296.0,15.0,38.0,178.0,168.0,2.0,348.0,348.0,345.52
2023-02,Eckstein,8,322.0,16.0,41.0,190.0,181.0,5.0,376.0,376.0,376.0
2023-02,Hamilton International,6,255.0,12.0,45.0,164.0,143.0,4.0,311.0,311.0,311.0
